gene	mis_mle	tru_mle	mis_low	tru_low	mis_high	tru_high
APC	7.618423154003761	215.9418238973091	0.3226181746252619	30.68602294616274	129.68170765455608	2839.4921997690153
KRAS	835.7277493624247	0	167.79281173492797	0	10000	4361.337562379441
RBM10	0	162.02680771322036	0	6.861366419303782	69.83242495009658	2758.039621569276
RNF43	0	828.6303639890934	0	117.75102156598827	101.33184314426443	10000
TP53	236.84232406429265	909.664635729069	45.53853699941435	95.56995723979144	2871.9044550421672	10000
