gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
TP53	0	6	2	0	1	236.842324064293	909.664635729069	909.664635729069	443.994259367127	1.85383597361977e-10	4.36561036887273e-06	5.29909449653587e-13	0.00224035736579703	1.78116560345387e-06	0.0279631896160861	5.09136999227167e-09	1	4.19664303308309e-14	8.06426925237247e-10
KRAS	0	7	0	0	0	835.727749362425	0	0	0	1.66533453693773e-15	0.964005065264837	1.67643676718399e-14	1	3.20010684617955e-11	0.988697693587534	3.22144089182075e-10	1	5.4856119646729e-13	5.27057597565772e-09
APC	0	1	3	0	5	7.61842315400376	215.941823897309	215.941823897309	479.41724307491	0.170883852598298	2.6962210243342e-06	1.30332996548521e-05	6.75922018792236e-09	0.939191584659608	0.025905291601803	0.0626119715419096	0.000129885175131116	2.73625566649116e-12	1.7526629629098e-08
RNF43	0	0	3	0	0	0	828.630363989093	828.630363989093	0	0.769030808933321	4.2717357873201e-08	2.62151165442148e-07	1	0.939191584659608	0.00082085674889143	0.00167916559837877	1	4.23488024603458e-06	0.0203443647019501
FBXW7	0	2	0	0	1	59.924060460749	0	0	316.715932219268	0.00127771741528937	0.924936057109314	0.00552606293207247	0.00313402925221238	0.939191584659608	0.988697693587534	0.99888097502269	1	0.000207197708391393	0.73916228524906
OR4C6	0	3	0	0	0	204.113032981237	0	0	0	3.20668568409843e-06	0.975177689940824	1.94830815493097e-05	1	0.0205398907018785	0.988697693587534	0.0748773790103069	1	0.000230795884236801	0.73916228524906
PLA2G2F	0	1	0	0	1	78.6292881694396	0	0	931.642665626377	0.0131852871839881	0.967127776213331	0.0462573823691701	0.00107065575514762	0.939191584659608	0.988697693587534	0.99888097502269	1	0.000540475220404679	0.999999619868951
SYNDIG1	0	1	0	0	1	63.1588869497458	0	0	764.975795389138	0.0168028202440198	0.970088749341209	0.0572881599076155	0.00130320343126458	0.939191584659608	0.988697693587534	0.99888097502269	1	0.000784103781379386	0.999999619868951
ZNF875	0	3	0	0	0	98.6486936169224	0	0	0	2.9823194191092e-05	0.935936458166464	0.000162464628887249	1	0.143270624894006	0.988697693587534	0.520320051449562	1	0.00157997667949561	0.999999619868951
ACVR2A	0	1	0	0	1	43.1279016014949	0	0	440.084857616726	0.02564723206187	0.942590590638298	0.0825499394750406	0.00226015292619979	0.939191584659608	0.988697693587534	0.99888097502269	1	0.00178863849280375	0.999999619868951
TDRD6	0	0	1	0	1	0	149.201699172096	149.201699172096	64.1240578371491	0.657381614011837	0.006508058676444	0.0207337421589352	0.0150436445035984	0.939191584659608	0.988697693587534	0.99888097502269	1	0.00282990420715157	0.999999619868951
SLC30A3	0	1	0	0	1	38.3587637727772	0	0	256.752165861768	0.0292076842905518	0.952358256255855	0.0924788257447043	0.00385931234449481	0.939191584659608	0.988697693587534	0.99888097502269	1	0.00319002890447118	0.999999619868951
