10L_tumour	4.99739171403838042455
12N_tumour	2.67495241124875964633
13L_tumour	3.19335404133572857004
14G	4.76929499680011409812
15G1	102.24953751835375051241
15G2	139.71960734103986431811
16M	1.72109341188873682671
17Z	3.75322780182965500765
18F	1.74182947709221558366
19E	3.27629830214964359784
20Y	37.92626325716264645856
21M	4.83150319241055036897
22L	1.67962128148177931281
23Y	2.82010486767311094497
24A	4.06426877988183636188
25S	3.25556223694616484089
26N	49.26889092346552650932
27N	30.83452895757291158222
28E	31.00041747920074163781
29D	2.26023110717918450737
2L_tumour	52.52445316041169135022
30Z	2.05287045514439693788
31Q	1.99066225953396066704
32N1	1.63814915107482179892
32N2	1.61741308587134304197
32N3	5.70241793095665816080
33W	43.93972216617148597359
34S	1.22342784700524665995
35N	1.90771799872004563925
3Q_tumour	1.96992619433048191009
4D_tumour	74.83645931935483382666
5J_tumour	15.71793742423689776686
6J_tumour	48.48092044573333374528
7F_tumour	2.77863273726615343108
8E_tumour	1.76256554229569434061
9N_tumour	3.77396386703313376460
