sample	min_cov	min_prop	bin	pass	bases	mean	11+	21+	31+	41+	51+	61+	71+	81+	91+	101+	111+	121+	131+	141+	151+
PD62037a	20	80	31+	true	50337604	78.0299	98.0400	92.8100	84.4300	74.4900	64.4200	55	46.5100	38.9400	32.3400	26.6600	21.8000	17.7200	14.3300	11.5100	9.2300
PD62037b	20	80	31+	true	50337604	100.5315	98.1700	93.9100	87.4200	79.7700	71.8700	64.1800	56.9800	50.2900	44.1900	38.7000	33.7600	29.3800	25.5200	22.1300	19.1800
PD62037c	20	80	41+	true	50337604	89.5454	98.5700	94.7300	88.2200	80.0400	71.3200	62.7800	54.7500	47.3100	40.5400	34.4800	29.1100	24.4100	20.3400	16.8400	13.8900
PD62037d	20	80	51+	true	50337604	133.5267	99.0300	96.7700	92.9200	87.8900	82.2200	76.3700	70.5300	64.8400	59.3500	54.1300	49.2000	44.5700	40.2800	36.2900	32.6100
PD62037e	20	80	11+	false	50337604	42.5418	88.9300	70.6300	53.6200	39.7400	29.1200	21.3100	15.6300	11.5600	8.6400	6.5500	5.0100	3.8900	3.0500	2.4000	1.9100
PD62038a	20	80	31+	true	50337604	83.3351	97.4000	91.7500	83.5400	74.3500	65.2500	56.6500	48.7400	41.5900	35.2400	29.6900	24.9000	20.8100	17.3500	14.4400	12.0100
PD62038b	20	80	31+	true	50337604	99.3760	97.8400	92.7200	85.4800	77.5200	69.6000	62.0100	54.8900	48.3300	42.3700	37.0600	32.3600	28.2200	24.6000	21.4500	18.7300
PD62038c	20	80	31+	true	50337604	90.1726	97.8400	92.7800	85.2900	76.7600	68.1700	59.9700	52.3400	45.4000	39.1400	33.5800	28.6800	24.4200	20.7600	17.6300	14.9600
PD62038d	20	80	21+	true	50337604	72.4609	95.5700	86.0300	75.0400	64.3100	54.4100	45.6100	38.0500	31.6600	26.3700	22.0100	18.4500	15.5300	13.1400	11.1700	9.5300
PD62038e	20	80	21+	true	50337604	73.6009	96.2600	87.4800	76.7400	66.1200	56.2100	47.2900	39.4600	32.7700	27.1800	22.5800	18.8000	15.7100	13.1700	11.0900	9.3900
PD62039a	20	80	41+	true	50337604	110.5732	98.3100	95.1100	90.0200	83.6300	76.6400	69.5700	62.6900	56.1700	50.0800	44.4800	39.3800	34.7600	30.6200	26.9200	23.6300
PD62039b	20	80	31+	true	50337604	86.1825	97.6800	91.6100	83.0600	73.8700	64.9200	56.4600	48.6900	41.7100	35.5600	30.1900	25.6000	21.6900	18.4000	15.6400	13.3300
PD62039c	20	80	31+	true	50337604	86.7249	97.2900	90.8100	82.1300	73.0200	64.1700	55.8600	48.2600	41.4500	35.4500	30.2500	25.7900	22	18.8100	16.1200	13.8400
PD62039d	20	80	21+	true	50337604	71.1154	96.3800	89.2200	79.1100	68.1900	57.7400	48.3700	40.1800	33.1600	27.1800	22.2000	18.0600	14.6300	11.8100	9.5100	7.6600
PD62039e	20	80	31+	true	50337604	76.0583	97.1600	90.3700	80.7600	70.5700	60.7700	51.7300	43.5600	36.3800	30.1700	24.8800	20.4400	16.7700	13.7400	11.2600	9.2400
PD62040a	20	80	<11	false	50337604	0.0382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD62040b	20	80	11+	false	50337604	47.5640	93.1800	77.9200	61.5200	47.2600	35.6500	26.5500	19.6200	14.4700	10.6900	7.9400	5.9200	4.4500	3.3700	2.5800	1.9900
PD62040c	20	80	11+	false	50337604	46.4759	93.8100	78.7400	61.9200	47.1200	35.1200	25.7400	18.6500	13.3800	9.5500	6.8200	4.8900	3.5400	2.5600	1.8800	1.3900
PD62041a	20	80	51+	true	50337604	124.4853	98.9900	96.7700	92.8400	87.6100	81.6400	75.3800	69.1100	62.9900	57.1300	51.5900	46.4100	41.6000	37.1400	33.0800	29.4000
PD62041b	20	80	11+	false	50337604	47.5875	91.7700	76.1000	60.1000	46.2000	34.9300	26.1600	19.5700	14.6700	11.0800	8.4500	6.4900	5.0400	3.9400	3.1100	2.4700
PD62041c	20	80	31+	true	50337604	86.2006	98.3500	93.7300	86.3700	77.6500	68.6900	59.9900	51.8000	44.2900	37.5400	31.5900	26.4100	21.9800	18.2300	15.1100	12.5100
PD62041d	20	80	41+	true	50337604	117.9423	98.7900	96.1000	91.5800	85.7800	79.3300	72.7000	66.1400	59.8200	53.8200	48.2300	43.0600	38.3400	34.0300	30.1400	26.6400
PD62042a	20	80	31+	true	50337604	75.6474	97.2700	90.2800	80.4600	69.9800	59.9300	50.8200	42.7400	35.7100	29.7100	24.6200	20.3400	16.7800	13.8400	11.4100	9.4200
PD62042b	20	80	11+	false	50337604	48.8519	91.5900	75.5600	59.5700	45.7400	34.6900	26.2900	20.0600	15.5200	12.1600	9.6600	7.7300	6.2300	5.0500	4.1100	3.3500
PD62042c	20	80	21+	true	50337604	60.5091	95.5900	84.0800	70.4900	57.5500	46.1700	36.7200	29.2400	23.3900	18.8100	15.2500	12.4200	10.1600	8.3600	6.9000	5.7200
PD62043a	20	80	31+	true	50337604	84.2707	97.8000	92.8100	85.1000	76.1500	67.0300	58.3300	50.2600	42.9100	36.3600	30.5900	25.6000	21.3200	17.6800	14.6300	12.0900
PD62043b	20	80	21+	true	50337604	56.7627	94.9500	83.4500	69.9400	57.0500	45.5800	35.8500	27.8700	21.4800	16.5300	12.7300	9.8300	7.6200	5.9400	4.6500	3.6700
PD62043c	20	80	<11	false	50337604	3.4200	4.8100	0.5600	0.1100	0.0300	0.0100	0	0	0	0	0	0	0	0	0	0
PD62044a	20	80	<11	false	50337604	7.4404	23.3700	3.8500	0.7000	0.1600	0.0500	0.0100	0	0	0	0	0	0	0	0	0
PD62044b	20	80	<11	false	50337604	1.2724	0.0900	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD62044c	20	80	41+	true	50337604	100.5721	98.3200	94.1700	87.6700	80.1100	72.3300	64.7600	57.5000	50.7200	44.4400	38.7400	33.6600	29.1700	25.2300	21.8300	18.8900
PD62045a	20	80	21+	true	50337604	56.4816	94.0200	81.3100	67.4900	54.5500	43.2500	33.8900	26.4500	20.6900	16.2700	12.9300	10.3700	8.3800	6.8100	5.5700	4.5800
PD62045b	20	80	31+	true	50337604	83.3619	97.6900	91.7700	83.1800	73.7600	64.5400	55.9100	48.0100	40.9100	34.6800	29.2300	24.5700	20.6100	17.2700	14.4800	12.1300
PD62045c	20	80	31+	true	50337604	80.1914	97.5600	91.3600	82.4300	72.6300	63.0300	54.1100	46.0400	38.9000	32.7000	27.3600	22.8200	19	15.8000	13.1400	10.9300
PD62046a	20	80	31+	true	50337604	93.6988	97.8100	93.1100	86.1300	78.1100	69.9000	61.9100	54.4000	47.5100	41.2400	35.6300	30.6700	26.3200	22.5500	19.2700	16.4600
PD62046b	20	80	31+	true	50337604	78.9952	97.7700	91.5200	82.3600	72.3800	62.6600	53.6100	45.4100	38.1400	31.8400	26.4700	21.9600	18.1800	15.0300	12.4400	10.3100
PD62046c	20	80	31+	true	50337604	86.4939	97.6200	91.9500	83.9000	75.0600	66.3500	58.0100	50.2300	43.1600	36.8200	31.2600	26.4300	22.2900	18.8000	15.8400	13.3600
