sample	2	3	4
PD62052a	1	1	1
PD62053a	1	1	1
PD62054a	1	1	1
PD62057a	1	1	1
PD62058a	1	1	1
PD62060a	1	2	2
PD62064a	1	1	1
PD62065c	1	1	1
PD62066a	1	2	3
PD62067a	1	1	1
PD62068f	1	1	1
PD62072a	1	1	1
PD62073a	1	1	1
PD62075a	1	1	1
PD62076a	1	1	1
PD62078a	1	1	1
PD62079a	1	2	2
PD62080a	1	1	1
PD62081a	1	1	1
PD62084a	1	2	3
PD62027a	1	1	1
PD62029c	1	1	1
PD62030a	2	3	4
PD62031a	1	1	1
PD62033a	1	1	1
PD62034a	1	2	3
PD62037a	1	1	1
PD62037c	1	1	1
PD62038a	1	1	1
PD62038c	1	2	3
PD62039a	2	3	4
PD62041a	1	2	2
PD62042a	2	3	4
PD62043a	1	2	2
PD62046a	2	3	4
PD62047a	1	2	3
PD62049a	2	3	4
PD62051a	2	3	4
