sample	min_cov	min_prop	bin	pass	bases	mean	11+	21+	31+	41+	51+	61+	71+	81+	91+	101+	111+	121+	131+	141+	151+
PD62027c	20	80	41+	TRUE	50337604	109.5173	98.79	95.61	90.16	83.44	76.32	69.24	62.38	55.8	49.57	43.8	38.51	33.73	29.46	25.71	22.41
PD62030d	20	80	31+	TRUE	50337604	85.4204	97.87	92.65	84.77	75.73	66.69	58.11	50.23	43.09	36.7	31.09	26.21	21.99	18.4	15.37	12.81
PD62031c	20	80	31+	TRUE	50337604	99.9382	98.2	93.69	86.98	79.45	71.79	64.32	57.14	50.35	44.09	38.39	33.3	28.84	24.96	21.59	18.67
PD62036a	20	80	21+	TRUE	50337604	56.935	95.75	84.62	70.74	57.47	45.86	36.09	28.05	21.64	16.63	12.73	9.75	7.48	5.76	4.45	3.46
PD62038d	20	80	21+	TRUE	50337604	72.4609	95.57	86.03	75.04	64.31	54.41	45.61	38.05	31.66	26.37	22.01	18.45	15.53	13.14	11.17	9.53
PD62038e	20	80	21+	TRUE	50337604	73.6009	96.26	87.48	76.74	66.12	56.21	47.29	39.46	32.77	27.18	22.58	18.8	15.71	13.17	11.09	9.39
PD62039c	20	80	31+	TRUE	50337604	86.7249	97.29	90.81	82.13	73.02	64.17	55.86	48.26	41.45	35.45	30.25	25.79	22	18.81	16.12	13.84
PD62045a	20	80	21+	TRUE	50337604	56.4816	94.02	81.31	67.49	54.55	43.25	33.89	26.45	20.69	16.27	12.93	10.37	8.38	6.81	5.57	4.58
PD62051c	20	80	21+	TRUE	50337604	67.8933	95.36	85.23	73.53	62.18	51.86	42.86	35.24	28.91	23.76	19.59	16.22	13.48	11.27	9.45	7.96
